mean_acc,std_acc,mean_f1,std_f1,model,k,max_depth,criterion,n_trees,config,layer_sizes,lam
0.9733333333333334,0.05537749241945381,0.9466666666666667,0.11075498483890768,neural_network,,,,,"[32], lam=0.001",[32],0.001
0.9733333333333334,0.05537749241945381,0.9466666666666667,0.11075498483890768,neural_network,,,,,"[32], lam=0.01",[32],0.01
0.9722222222222221,0.05692750425533109,0.9403174603174603,0.1202064236143631,random_forest,,,gini,30.0,,,
0.9722222222222221,0.05692750425533109,0.9371428571428572,0.1275052797804157,random_forest,,,info_gain,30.0,,,
0.9722222222222221,0.05692750425533109,0.9371428571428572,0.1275052797804157,random_forest,,,info_gain,50.0,,,
0.9650000000000001,0.056984403324262516,0.9247619047619047,0.12273896124584789,neural_network,,,,,"[16], lam=0.001",[16],0.001
0.9650000000000001,0.056984403324262516,0.9247619047619047,0.12273896124584789,neural_network,,,,,"[16], lam=0.01",[16],0.01
0.9650000000000001,0.056984403324262516,0.9247619047619047,0.12273896124584789,neural_network,,,,,"[32, 16], lam=0.001","[32, 16]",0.001
0.9650000000000001,0.056984403324262516,0.9247619047619047,0.12273896124584789,neural_network,,,,,"[32, 16], lam=0.01","[32, 16]",0.01
0.9648834498834498,0.04335244640939384,0.9228571428571428,0.09451631252505219,knn,1.0,,,,,,
0.9645299145299144,0.05784405494161468,0.9228571428571428,0.12110226933128963,random_forest,,,info_gain,10.0,,,
0.9645299145299144,0.05784405494161468,0.9228571428571428,0.12110226933128963,random_forest,,,gini,10.0,,,
0.9645299145299144,0.05784405494161468,0.9212698412698412,0.12426290613561974,random_forest,,,gini,50.0,,,
0.9622222222222222,0.05987641593469991,0.9203174603174602,0.12514904190945336,random_forest,,,gini,75.0,,,
0.9622222222222222,0.05987641593469991,0.9203174603174602,0.12514904190945336,random_forest,,,gini,100.0,,,
0.9622222222222222,0.05987641593469991,0.9203174603174602,0.12514904190945336,random_forest,,,gini,150.0,,,
0.9622222222222222,0.05987641593469991,0.917142857142857,0.13169400387867464,random_forest,,,info_gain,75.0,,,
0.9566666666666667,0.06839428176227728,0.9063492063492063,0.14761904761904765,decision_tree,,10.0,gini,,,,
0.9566666666666667,0.06839428176227728,0.9063492063492063,0.14761904761904765,decision_tree,,15.0,gini,,,,
0.9566666666666667,0.06839428176227728,0.9063492063492063,0.14761904761904765,decision_tree,,20.0,gini,,,,
0.9566666666666667,0.06839428176227728,0.9063492063492063,0.14761904761904765,decision_tree,,30.0,gini,,,,
0.9566666666666667,0.06839428176227728,0.9063492063492063,0.14761904761904765,decision_tree,,-1.0,gini,,,,
0.9566666666666667,0.06839428176227728,0.9034920634920635,0.15242856399041949,decision_tree,,10.0,info_gain,,,,
0.9566666666666667,0.06839428176227728,0.9034920634920635,0.15242856399041949,decision_tree,,15.0,info_gain,,,,
0.9566666666666667,0.06839428176227728,0.9034920634920635,0.15242856399041949,decision_tree,,20.0,info_gain,,,,
0.9566666666666667,0.06839428176227728,0.9034920634920635,0.15242856399041949,decision_tree,,30.0,info_gain,,,,
0.9566666666666667,0.06839428176227728,0.9034920634920635,0.15242856399041949,decision_tree,,-1.0,info_gain,,,,
0.9538888888888888,0.05983774357005414,0.8980952380952381,0.1321066016329666,random_forest,,,info_gain,100.0,,,
0.9538888888888888,0.05983774357005414,0.8980952380952381,0.1321066016329666,random_forest,,,info_gain,150.0,,,
0.9468376068376069,0.06747569590293176,0.8790476190476191,0.1552147221668237,knn,5.0,,,,,,
0.94517094017094,0.07272998315183246,0.8739682539682541,0.1649086418787346,knn,3.0,,,,,,
0.9301709401709403,0.0816687128243983,0.8476190476190476,0.17555871290825908,knn,7.0,,,,,,
0.9278632478632479,0.07860107139398463,0.8383333333333333,0.1719715277283026,decision_tree,,5.0,info_gain,,,,
0.9210800310800311,0.07838342323264105,0.8285714285714285,0.1681700899040076,knn,9.0,,,,,,
0.9118376068376068,0.09410952138980093,0.8078571428571429,0.19812628534172505,decision_tree,,5.0,gini,,,,
0.8867210567210566,0.10513961660009276,0.7606349206349206,0.21879073964659024,knn,11.0,,,,,,
