mean_acc,std_acc,mean_f1,std_f1,model,k,n_trees,criterion,config,layer_sizes,lam
0.9733515847412912,0.010617561740088408,0.9732366111547283,0.010726334238160471,knn,1.0,,,,,
0.9783498116708138,0.00999492267300943,0.9783404605057082,0.010057571691739904,knn,3.0,,,,,
0.9805423239318314,0.006651081466219714,0.9805522581760974,0.0067613775233085665,knn,5.0,,,,,
0.9760810567575516,0.006577520030285147,0.9760246826605187,0.006635378970362601,knn,7.0,,,,,
0.9761091733846143,0.008925110151411939,0.9761100289735796,0.0089766838296197,knn,9.0,,,,,
0.9749827126081259,0.01171342394946021,0.9750212464111128,0.011664345222641401,knn,11.0,,,,,
0.9716701527656577,0.014099418503724922,0.9716426177194035,0.01410805243245143,knn,13.0,,,,,
0.9688762127201779,0.01189812723319322,0.9688286524936738,0.011817394474608839,knn,15.0,,,,,
0.9493615755872593,0.014210202522832114,0.9490163510988439,0.014558526389534978,random_forest,,10.0,info_gain,,,
0.973272408991309,0.007017342684287573,0.97329640419385,0.007059680268111152,random_forest,,30.0,info_gain,,,
0.9777148007672078,0.004419419246423523,0.9776778331898301,0.004402741612131447,random_forest,,50.0,info_gain,,,
0.9788203148327155,0.009306406180335597,0.9787404137760174,0.009429388023212165,random_forest,,75.0,info_gain,,,
0.9765669153277763,0.010340023839881498,0.9764456373693988,0.010495587170544671,random_forest,,100.0,info_gain,,,
0.9771345401456577,0.009891372236174567,0.9770158466764503,0.010033562369424069,random_forest,,150.0,info_gain,,,
0.9577896950430185,0.011063703527155536,0.9572866908452273,0.01109111407778127,random_forest,,10.0,gini,,,
0.9710953926663792,0.0068115245853232025,0.9707816244259744,0.006935400186408084,random_forest,,30.0,gini,,,
0.977167638965399,0.008859007697897214,0.976909145890183,0.0089749399495332,random_forest,,50.0,gini,,,
0.9766615477386449,0.011546617908151214,0.9764216078086049,0.011644380430259444,random_forest,,75.0,gini,,,
0.9755221862664083,0.01062229892533485,0.9752610859422004,0.010668348689278656,random_forest,,100.0,gini,,,
0.9754916523617865,0.011513558826338635,0.9752647616958765,0.011620191512326006,random_forest,,150.0,gini,,,
0.9654837596152535,0.010001321250329407,0.9652926502664718,0.010008543916919724,neural_network,,,,"[32], lam=0.0",[32],0.0
0.9660243001557939,0.010242502076634128,0.9658179265549058,0.010269143603732307,neural_network,,,,"[32], lam=0.01",[32],0.01
0.966491370874493,0.014658531755140838,0.9662300916055784,0.014857880074211393,neural_network,,,,"[64], lam=0.01",[64],0.01
0.9687229383782909,0.012904484389089617,0.9686777162883974,0.012868213121615202,neural_network,,,,"[64], lam=0.1",[64],0.1
0.9643591519395975,0.012896519866423093,0.964306834002542,0.01269924205060556,neural_network,,,,"[64, 32], lam=0.01","[64, 32]",0.01
0.9676610249437804,0.01437123304783087,0.9675260223369413,0.014450243673254365,neural_network,,,,"[32, 32], lam=0.1","[32, 32]",0.1
