mean_acc,std_acc,mean_f1,std_f1,model,config,layer_sizes,lam
0.9687229383782909,0.012904484389089617,0.9686777162883974,0.012868213121615202,neural_network,"[64], lam=0.1",[64],0.1
0.9676610249437804,0.01437123304783087,0.9675260223369413,0.014450243673254365,neural_network,"[32, 32], lam=0.1","[32, 32]",0.1
0.966491370874493,0.014658531755140838,0.9662300916055784,0.014857880074211393,neural_network,"[64], lam=0.01",[64],0.01
0.9660243001557939,0.010242502076634128,0.9658179265549058,0.010269143603732307,neural_network,"[32], lam=0.01",[32],0.01
0.9654837596152535,0.010001321250329407,0.9652926502664718,0.010008543916919724,neural_network,"[32], lam=0.0",[32],0.0
0.9643591519395975,0.012896519866423093,0.964306834002542,0.01269924205060556,neural_network,"[64, 32], lam=0.01","[64, 32]",0.01
