mean_acc,std_acc,mean_f1,std_f1,model,max_depth,criterion,n_trees,k
0.863473921911422,0.04675562899252918,0.863248030750863,0.045024276370164006,decision_tree,3.0,info_gain,,
0.8528678613053614,0.04042245175287747,0.8437712183976703,0.04372160027390541,decision_tree,5.0,info_gain,,
0.8436356351981352,0.04083845105917503,0.8243113470342592,0.04269784197717691,decision_tree,7.0,info_gain,,
0.8284127331002331,0.0325260860966699,0.8027552463277537,0.03804785332894469,decision_tree,10.0,info_gain,,
0.8098761655011655,0.03307476753024845,0.7847708620219684,0.04138692205843831,decision_tree,15.0,info_gain,,
0.8037922494172495,0.023150897395458225,0.7802682073649085,0.030567813638092373,decision_tree,-1.0,info_gain,,
0.8604436188811189,0.04664677492312726,0.8597442428720751,0.0450419533964966,decision_tree,3.0,gini,,
0.8574606643356644,0.0462181395984962,0.8494520449583909,0.04730124602706516,decision_tree,5.0,gini,,
0.8514240967365968,0.04218053325861041,0.831828811706874,0.04640820280428459,decision_tree,7.0,gini,,
0.8269208916083916,0.039242538479902264,0.8045300403474318,0.04799407617099216,decision_tree,10.0,gini,,
0.8070592948717948,0.03755237509996037,0.7857010351087271,0.04421677875430606,decision_tree,15.0,gini,,
0.8040056818181818,0.03725803022516331,0.7830453165662201,0.043885458732037405,decision_tree,-1.0,gini,,
0.8557575757575758,0.05429706240140811,0.8343647814057127,0.06542117317472562,random_forest,,info_gain,10.0,
0.8634265734265734,0.057653205249958914,0.8476402970514567,0.0671601506705644,random_forest,,info_gain,30.0,
0.8727301864801864,0.05228796887932276,0.8584899412706651,0.058711566111223315,random_forest,,info_gain,50.0,
0.869557837995338,0.0573414218390743,0.8560656895249945,0.06388461983490897,random_forest,,info_gain,75.0,
0.8741979895104895,0.04844025496168582,0.8607422919017722,0.05501288563411036,random_forest,,info_gain,100.0,
0.8680426864801865,0.05180590820903404,0.8556924680233889,0.05737948313356029,random_forest,,info_gain,150.0,
0.8620775058275058,0.0542401478447583,0.8434574729827723,0.06381004511804615,random_forest,,gini,10.0,
0.8664095279720281,0.0541178053779684,0.8524171374042913,0.059314908730184225,random_forest,,gini,30.0,
0.861911421911422,0.054129261614479625,0.8464765129992896,0.05975324893703295,random_forest,,gini,50.0,
0.8604436188811189,0.05557952655533768,0.8449489198118005,0.061957358270528756,random_forest,,gini,75.0,
0.865059731934732,0.050311431535596716,0.850740679065512,0.05627961212560068,random_forest,,gini,100.0,
0.869534527972028,0.05281104955398269,0.8556837435244627,0.05851031511172278,random_forest,,gini,150.0,
0.779315268065268,0.05338465364732886,0.7498337972602838,0.0627766137070651,knn,,,,1.0
0.8130026223776223,0.03966205948748581,0.7823154352640336,0.05030254530489882,knn,,,,3.0
0.8007400932400932,0.04657767678738906,0.7664380099040046,0.056450789918936047,knn,,,,5.0
0.8036764277389278,0.04863031692752876,0.7636626003598185,0.056741396211434265,knn,,,,7.0
0.8082918123543124,0.04222374808621162,0.7635363683690716,0.052050208379274404,knn,,,,9.0
0.8052381993006993,0.038927286711368865,0.7569337895983493,0.04738170842123913,knn,,,,11.0
0.7928802447552448,0.048716770785982126,0.736141340856661,0.06146850411353377,knn,,,,15.0
