dataset,model,mean_acc,mean_f1
digits,knn,0.9805423239318314,0.9805522581760974
parkinsons,knn,0.9494444444444444,0.9653645511473656
rice,neural_network,0.9299212598425198,0.9389427998163804
credit_approval,decision_tree,0.863473921911422,0.863248030750863
