mean_acc,std_acc,mean_f1,std_f1,model,k,n_trees,criterion,config,layer_sizes,lam,dataset,max_depth
0.9805423239318314,0.0066510814662197,0.9805522581760974,0.0067613775233085,knn,5.0,,,,,,digits,
0.9494444444444444,0.0447524052736585,0.9653645511473656,0.0319926438501084,knn,1.0,,,,,,parkinsons,
0.9299212598425198,0.0174910310567413,0.9389427998163804,0.0149919729677231,neural_network,,,,"[16, 8], lam=0.01","[16, 8]",0.01,rice,
0.863473921911422,0.0467556289925291,0.863248030750863,0.045024276370164,decision_tree,,,info_gain,,,,credit_approval,3.0
